NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04432103,NO,2021-01-29,
NCT04820803,NO,2021-04-29,
NCT04398303,NO,2020-10,
NCT05329064,NO,2023-12-31,
NCT04846790,NO,2024-12-01,
NCT04407390,NO,2021-05-01,
NCT04945590,NO,2023-12,
NCT04324190,NO,2020-06,
NCT04868890,YES,2022-02-16,2022-10-27
NCT04920890,NO,2022-06-21,
NCT05543590,NO,2025-02,
NCT05606003,NO,2022-06-30,
NCT04460703,NO,2020-07-08,
NCT04941703,YES,2022-06-25,2023-06-15
NCT05693064,NO,2025-01-15,
NCT04643964,NO,2021-06-05,
NCT04420390,NO,2020-07-31,
NCT05226390,NO,2023-11-21,
NCT04400890,YES,2021-03-01,2022-06-30
NCT05769803,NO,2023-02-14,
NCT04948203,NO,2024-06,
NCT04394403,NO,2021-12-31,
NCT05231590,NO,2022-04-14,
NCT04526990,NO,2021-08-07,
NCT05249790,NO,2023-04,
NCT04523090,NO,2021-12-21,
NCT04884490,NO,2021-10-14,
NCT05197179,NO,2022-04-27,
NCT04913779,NO,2021-11-30,
NCT04979884,NO,2022-09-09,
NCT04793984,NO,2022-07-30,
NCT04401202,YES,2020-12-31,2021-05-23
NCT05172102,NO,2023-03-20,
NCT04463602,NO,2021-01-25,
NCT05263921,NO,2022-05-19,
NCT04977921,NO,2021-05-15,
NCT04695821,NO,2021-02,
NCT04603079,NO,2021-05-01,
NCT05102084,NO,2021-12-01,
NCT04570202,NO,2022-07-17,
NCT05584202,NO,2024-03-08,
NCT04372602,YES,2022-02-06,2023-02-01
NCT04979221,NO,2022-01-26,
NCT04405921,NO,2020-12,
NCT04716179,NO,2021-05-18,
NCT04494984,NO,2020-11-23,
NCT04376684,YES,2021-07-15,2022-02-28
NCT05799521,NO,2024-03-30,
NCT04838821,NO,2021-07-29,
NCT04808921,NO,2021-01-18,
NCT04476979,NO,2021-06-01,
NCT05760079,NO,2022-09,
NCT04768179,NO,2021-06-30,
NCT05449379,NO,2024-12-31,
